음 식 명,에너지(kcal),중량(g),탄수화물(g),단백질(g),지방(g),당뇨 위험 분류,레이블
땅콩조림,402,100,33,15,26,1,0
미꾸라지튀김,764,200,61,25,45,1,0
새우튀김,623,200,44,24,39,1,0
생선가스,646,200,57,25,37,1,0
쥐포튀김,707,200,76,22,33,1,0
오징어튀김,617,200,52,27,33,1,0
닭강정,647,200,48,37,31,1,0
닭튀김,607,200,31,36,35,0,0
돈가스,621,200,37,28,39,1,0
모래집튀김,610,200,42,30,35,1,0
양념치킨,568,200,39,30,31,1,0
치즈돈가스,607,200,36,29,37,1,0
치킨가스,582,200,51,31,29,1,0
탕수육,454,200,56,17,17,1,0
깐풍기,585,200,43,28,33,1,0
감자튀김,308,100,33,4,17,1,0
고구마맛탕,491,200,90,3,14,1,0
고구마튀김,483,200,68,6,22,1,0
고추튀김,397,200,25,13,27,0,0
김말이튀김,481,200,65,4,25,1,0
채소튀김,624,200,73,6,37,1,0
노각무침,54,100,11,2,1,0,0
단무지무침,38,100,6,1,2,0,0
달래나물무침,88,100,17,3,2,0,0
더덕무침,147,100,32,3,2,0,0
도라지생채,110,100,26,3,1,0,0
도토리묵,43,100,10,0,0,0,0
마늘쫑무침,127,100,31,3,1,0,0
무생채,49,100,11,2,1,0,0
무말랭이,133,100,32,5,1,0,0
오이생채,47,100,9,2,1,0,0
파무침,83,100,13,3,4,0,0
상추겉절이,65,100,9,3,3,0,0
쑥갓나물무침,63,100,6,4,4,0,0
청포묵무침,63,100,8,1,2,0,0
해파리냉채,58,100,9,4,1,0,0
가지나물,44,100,6,1,3,0,0
고사리나물,87,100,8,4,7,0,0
도라지나물,109,100,11,1,8,0,0
무나물,69,100,6,1,5,0,0
미나리나물,57,100,5,2,4,0,0
숙주나물,39,100,3,3,3,0,0
시금치나물,75,100,8,4,5,0,0
취나물,146,100,7,3,13,0,0
콩나물,48,100,2,3,4,0,0
고구마줄기나물,61,100,6,1,4,0,0
우거지나물무침,84,100,7,3,6,0,0
골뱅이무침,107,100,16,8,2,0,0
김무침,270,100,41,16,14,1,0
미역초무침,50,100,11,2,1,0,0
북어채무침,221,100,21,25,4,0,0
회무침,104,100,14,9,1,0,0
쥐치채,267,100,51,14,1,0,0
파래무침,105,100,18,8,2,0,0
홍어무침,97,100,12,11,1,0,0
골뱅이국수무침,111,100,17,5,3,0,0
오징어무침,125,100,7,19,2,0,0
잡채,133,100,25,2,3,0,0
탕평채,101,100,10,4,3,0,0
갓김치,55,100,10,4,1,0,0
고들빼기,111,100,24,4,1,0,0
깍두기,36,100,8,2,0,0,0
깻잎김치,83,100,16,4,2,0,0
나박김치,15,100,2,1,0,0,0
동치미,14,100,4,1,0,0,0
배추겉절이,42,100,9,2,1,0,0
배추김치,37,100,8,2,1,0,0
백김치,40,100,9,2,1,0,0
부추김치,66,100,13,4,1,0,0
열무김치,33,100,6,3,1,0,0
열무얼갈이김치,33,100,6,3,1,0,0
오이소박이,33,100,6,2,1,0,0
총각김치,35,100,7,2,1,0,0
파김치,56,100,11,3,1,0,0
간장게장,117,100,6,13,1,0,0
마늘쫑장아찌,57,100,12,2,0,0,0
고추장아찌,75,100,14,3,0,0,0
깻잎장아찌,112,100,26,7,1,0,0
마늘장아찌,54,100,10,3,0,0,0
무장아찌,91,100,18,2,1,0,0
양념게장,138,100,23,10,1,0,0
양파장아찌,39,100,7,1,0,0,0
오이지,23,100,5,2,1,0,0
무피클,34,100,8,1,0,0,0
오이피클,108,100,29,1,0,0,0
단무지,13,100,2,0,1,0,0
오징어젓갈,68,100,3,12,1,0,0
명란젓,120,100,3,21,3,0,0
생연어,110,100,1,21,2,0,0
생선물회,288,400,41,18,7,0,0
광어회 ,232,200,19,34,3,0,0
훈제연어,338,200,19,39,12,0,0
육회,315,200,21,33,11,0,0
육사시미,271,200,9,39,8,0,0
가래떡,205,100,45,4,0,0,0
경단,304,100,67,7,1,0,0
꿀떡,226,100,50,3,1,0,0
시루떡,224,100,49,6,0,0,0
메밀전병,166,100,25,6,5,1,0
찰떡,216,100,45,6,1,0,0
무지개떡,218,100,49,4,1,0,0
백설기,219,100,48,4,1,0,0
송편,235,100,47,4,3,0,0
수수부꾸미,259,100,46,5,6,1,0
수수팥떡,213,100,45,6,1,0,0
쑥떡,238,100,55,5,0,0,0
약식,232,100,49,4,2,0,0
인절미,214,100,43,6,2,0,0
절편,198,100,44,3,0,0,0
증편,199,100,44,3,0,0,0
찹쌀떡,265,100,62,3,0,0,0
매작과,405,100,64,9,12,1,0
다식,351,100,69,12,6,1,0
약과,379,100,74,9,4,0,0
유과,430,100,80,1,12,1,0
산자,406,100,82,3,4,0,0
깨강정,501,100,45,15,33,1,0
