음 식 명,중량(g),에너지(kcal),탄수화물(g),지방(g),단백질(g),당뇨 위험 분류,레이블,고기,채소,해산물
우렁된장국,500.0,245.0,21.0,7.0,25.0,0,999,0,0,1
갈비탕,600.0,240.0,8.0,14.0,19.0,0,999,1,0,0
감자탕,900.0,964.0,50.0,58.0,61.0,0,999,1,0,0
곰탕,300.0,181.0,16.0,5.0,17.0,0,999,1,0,0
매운탕,600.0,403.0,19.0,22.0,37.0,0,999,0,0,1
꼬리곰탕,700.0,751.0,11.0,53.0,55.0,0,999,1,0,0
꽃게탕,600.0,241.0,21.0,5.0,32.0,0,999,0,0,1
낙지탕,600.0,186.0,12.0,3.0,29.0,0,999,0,0,1
내장탕,700.0,550.0,14.0,32.0,57.0,0,999,1,0,0
닭곰탕,650.0,528.0,15.0,24.0,59.0,0,999,1,0,0
닭볶음탕,300.0,372.0,19.0,17.0,34.0,0,999,1,0,0
지리탕,600.0,261.0,11.0,8.0,38.0,0,999,0,0,1
도가니탕,800.0,564.0,6.0,35.0,55.0,0,999,1,0,0
삼계탕,1000.0,881.0,44.0,41.0,77.0,0,999,1,0,0
설렁탕,600.0,423.0,11.0,18.0,53.0,0,999,1,0,0
알탕,700.0,424.0,50.0,7.0,49.0,0,999,0,0,1
연포탕,1000.0,541.0,22.0,9.0,92.0,0,999,0,0,1
오리탕,600.0,481.0,24.0,22.0,43.0,0,999,1,0,0
추어탕,700.0,339.0,24.0,12.0,37.0,0,999,0,0,1
해물탕,600.0,272.0,20.0,3.0,42.0,0,999,0,0,1
닭개장,700.0,317.0,19.0,15.0,34.0,0,999,1,0,0
육개장,440.0,138.0,12.0,6.0,13.0,0,999,1,0,0
뼈해장국,1000.0,693.0,25.0,37.0,68.0,0,999,1,0,0
미역오이냉국,450.0,77.0,20.0,1.0,6.0,0,999,0,0,1
고등어찌개,600.0,605.0,32.0,28.0,59.0,0,999,0,0,1
꽁치찌개,300.0,357.0,14.0,21.0,30.0,0,999,0,0,1
동태찌개,800.0,370.0,19.0,8.0,60.0,0,999,0,0,1
청국장찌개,400.0,275.0,15.0,14.0,26.0,0,999,0,0,0
두부전골,500.0,315.0,16.0,19.0,29.0,0,999,0,0,0
곱창전골,600.0,533.0,27.0,35.0,38.0,0,999,1,0,0
소고기전골,300.0,203.0,17.0,8.0,19.0,0,999,1,0,0
국수전골,400.0,643.0,67.0,22.0,45.0,1,999,0,0,0
버섯찌개,400.0,172.0,15.0,8.0,17.0,0,999,0,1,0
참치김치찌개,400.0,194.0,13.0,11.0,17.0,0,999,0,0,0
순두부찌개,400.0,198.0,9.0,14.0,15.0,0,999,0,0,0
콩비지찌개,400.0,249.0,25.0,13.0,16.0,0,999,0,0,0
