음 식 명,중량(g),에너지(kcal),탄수화물(g),지방(g),단백질(g),당뇨 위험 분류,레이블,고기,채소,해산물
고구마맛탕,200.0,491.0,90.0,14.0,3.0,1,999,0,0,0
고구마튀김,100.0,242.0,34.0,11.0,3.0,1,999,0,0,0
고추튀김,100.0,198.0,13.0,14.0,6.0,0,999,0,0,0
김말이튀김,100.0,241.0,32.0,12.0,2.0,1,999,0,0,0
채소튀김,100.0,312.0,36.0,19.0,3.0,1,999,0,0,0
노각무침,150.0,81.0,16.0,2.0,3.0,0,999,0,0,0
단무지무침,50.0,19.0,3.0,1.0,0.0,0,999,0,0,0
달래나물무침,150.0,133.0,25.0,3.0,5.0,0,999,0,1,0
더덕무침,150.0,221.0,48.0,3.0,5.0,0,999,0,1,0
도라지생채,150.0,165.0,39.0,2.0,4.0,0,999,0,1,0
도토리묵,100.0,43.0,10.0,0.0,0.0,0,999,0,1,0
마늘쫑무침,30.0,38.0,9.0,0.0,1.0,0,999,0,1,0
무생채,150.0,74.0,16.0,1.0,3.0,0,999,0,1,0
무말랭이,30.0,40.0,10.0,0.0,1.0,0,999,0,1,0
오이생채,50.0,23.0,5.0,0.0,1.0,0,999,0,1,0
파무침,150.0,124.0,19.0,5.0,4.0,0,999,0,1,0
쑥갓나물무침,150.0,95.0,9.0,7.0,5.0,0,999,0,1,0
해파리냉채,150.0,87.0,14.0,2.0,7.0,0,999,0,1,0
가지나물,50.0,22.0,3.0,1.0,1.0,0,999,0,1,0
도라지나물,50.0,55.0,5.0,4.0,1.0,0,999,0,1,0
무나물,50.0,35.0,3.0,3.0,1.0,0,999,0,1,0
미나리나물,50.0,28.0,3.0,2.0,1.0,0,999,0,1,0
콩나물,50.0,24.0,1.0,2.0,2.0,0,999,0,1,0
고구마줄기나물,50.0,30.0,3.0,2.0,1.0,0,999,0,1,0
우거지나물무침,150.0,126.0,10.0,9.0,5.0,0,999,0,1,0
골뱅이무침,100.0,107.0,16.0,2.0,8.0,0,999,0,0,1
김무침,30.0,81.0,12.0,4.0,5.0,1,999,0,0,1
미역초무침,50.0,25.0,6.0,1.0,1.0,0,999,0,0,1
북어채무침,150.0,332.0,31.0,6.0,37.0,0,999,0,0,1
회무침,300.0,312.0,43.0,4.0,27.0,0,999,0,0,1
쥐치채,20.0,53.0,10.0,0.0,3.0,0,999,0,0,1
파래무침,30.0,32.0,5.0,1.0,2.0,0,999,0,0,1
홍어무침,200.0,193.0,25.0,2.0,22.0,0,999,0,0,1
골뱅이국수무침,230.0,256.0,40.0,7.0,11.0,0,999,0,0,1
오징어무침,200.0,250.0,14.0,4.0,39.0,0,999,0,0,1
잡채,150.0,199.0,37.0,5.0,3.0,0,999,0,1,0
탕평채,100.0,101.0,10.0,3.0,4.0,0,999,0,1,0
갓김치,50.0,28.0,5.0,1.0,2.0,0,999,0,0,0
고들빼기,50.0,55.0,12.0,1.0,2.0,0,999,0,0,0
깍두기,50.0,18.0,4.0,0.0,1.0,0,999,0,0,0
깻잎김치,150.0,124.0,23.0,3.0,6.0,0,999,0,0,0
나박김치,100.0,15.0,2.0,0.0,1.0,0,999,0,0,0
동치미,400.0,58.0,14.0,1.0,3.0,0,999,0,0,0
배추겉절이,50.0,21.0,4.0,0.0,1.0,0,999,0,0,0
배추김치,50.0,18.0,4.0,0.0,1.0,0,999,0,0,0
백김치,50.0,20.0,4.0,0.0,1.0,0,999,0,0,0
부추김치,50.0,33.0,6.0,1.0,2.0,0,999,0,0,0
파김치,50.0,28.0,5.0,1.0,2.0,0,999,0,0,0
간장게장,250.0,293.0,14.0,2.0,33.0,0,999,0,0,0
마늘쫑장아찌,50.0,28.0,6.0,0.0,1.0,0,999,0,0,0
고추장아찌,30.0,22.0,4.0,0.0,1.0,0,999,0,0,0
마늘장아찌,30.0,16.0,3.0,0.0,1.0,0,999,0,0,0
무장아찌,30.0,27.0,5.0,0.0,1.0,0,999,0,0,0
양념게장,200.0,276.0,46.0,2.0,20.0,0,999,0,0,0
양파장아찌,50.0,20.0,4.0,0.0,1.0,0,999,0,0,0
오이지,50.0,11.0,2.0,0.0,1.0,0,999,0,0,0
무피클,50.0,17.0,4.0,0.0,0.0,0,999,0,0,0
오이피클,50.0,54.0,15.0,0.0,0.0,0,999,0,0,0
단무지,30.0,4.0,1.0,0.0,0.0,0,999,0,0,0
오징어젓갈,10.0,7.0,0.0,0.0,1.0,0,999,0,0,1
명란젓,10.0,12.0,0.0,0.0,2.0,0,999,0,0,1
생연어,100.0,110.0,1.0,2.0,21.0,0,999,0,0,1
생선물회,800.0,575.0,81.0,14.0,37.0,0,999,0,0,1
광어회 ,100.0,116.0,9.0,1.0,17.0,0,999,0,0,1
훈제연어,100.0,169.0,9.0,6.0,19.0,0,999,0,0,1
육회,150.0,237.0,16.0,8.0,25.0,0,999,1,0,0
육사시미,150.0,204.0,7.0,6.0,29.0,0,999,1,0,0
가래떡,100.0,205.0,45.0,0.0,4.0,0,999,0,0,0
경단,100.0,304.0,67.0,1.0,7.0,0,999,0,0,0
꿀떡,100.0,226.0,50.0,1.0,3.0,0,999,0,0,0
시루떡,100.0,224.0,49.0,0.0,6.0,0,999,0,0,0
메밀전병,100.0,166.0,25.0,6.0,6.0,1,999,0,0,0
찰떡,100.0,216.0,45.0,1.0,6.0,0,999,0,0,0
무지개떡,100.0,218.0,49.0,1.0,4.0,0,999,0,0,0
백설기,100.0,219.0,48.0,1.0,4.0,0,999,0,0,0
송편,100.0,235.0,47.0,3.0,4.0,0,999,0,0,0
수수부꾸미,100.0,259.0,46.0,6.0,6.0,1,999,0,0,0
수수팥떡,100.0,213.0,45.0,1.0,6.0,0,999,0,0,0
쑥떡,100.0,238.0,55.0,0.0,5.0,0,999,0,0,0
약식,100.0,232.0,49.0,2.0,4.0,0,999,0,0,0
인절미,100.0,214.0,43.0,2.0,6.0,0,999,0,0,0
절편,100.0,198.0,44.0,0.0,3.0,0,999,0,0,0
증편,100.0,199.0,44.0,0.0,3.0,0,999,0,0,0
찹쌀떡,100.0,265.0,62.0,0.0,3.0,0,999,0,0,0
매작과,30.0,121.0,19.0,4.0,3.0,1,999,0,0,0
다식,30.0,105.0,21.0,2.0,4.0,1,999,0,0,0
약과,30.0,114.0,22.0,1.0,3.0,0,999,0,0,0
유과,30.0,129.0,24.0,4.0,0.0,1,999,0,0,0
산자,30.0,122.0,25.0,1.0,1.0,0,999,0,0,0
깨강정,30.0,150.0,14.0,10.0,4.0,1,999,0,0,0
